Timestamp,Feature,Value
0,AccelerationX,0.22296050713755805
1,AccelerationX,0.233874260628281
2,AccelerationX,0.24140248133407397
3,AccelerationX,0.23638666791074772
4,AccelerationX,0.24116340473574724
5,AccelerationX,0.2665576095586346
6,AccelerationX,0.2730054352252149
7,AccelerationX,0.29895347155585966
0,AccelerationY,0.6316464239390033
1,AccelerationY,0.5976972727430075
2,AccelerationY,0.5897559954892587
3,AccelerationY,0.5828885183655156
4,AccelerationY,0.5818316794412822
5,AccelerationY,0.6263480462595926
6,AccelerationY,0.639727648699283
7,AccelerationY,0.7394206290553154
0,AccelerationZ,0.28700481378485426
1,AccelerationZ,0.26469035529985674
2,AccelerationZ,0.31798955694660386
3,AccelerationZ,0.31246243087191783
4,AccelerationZ,0.3275408686072698
5,AccelerationZ,0.3506138557173322
6,AccelerationZ,0.3626949694169084
7,AccelerationZ,0.4606414350265629
0,RRX,0.14793681014643545
1,RRX,0.14665442558454486
2,RRX,0.23787899624900458
3,RRX,0.29112149239592244
4,RRX,0.32934934253326065
5,RRX,0.35070453392098966
6,RRX,0.3625638840678301
7,RRX,0.4793756798677578
0,RRY,0.18371766622917557
1,RRY,0.18205157675849046
2,RRY,0.19770885174669883
3,RRY,0.20393194932535902
4,RRY,0.21757050398753414
5,RRY,0.2279307231753132
6,RRY,0.23444417426118072
7,RRY,0.27299180388922284
0,RRZ,0.5294408813585336
1,RRZ,0.5399848642016799
2,RRZ,0.6077275234418786
3,RRZ,0.6409704309696147
4,RRZ,0.6558231028814421
5,RRZ,0.6983751067425782
6,RRZ,0.734611360386809
7,RRZ,0.7611116467069002
0,x+y+z,0.30546166897698424
1,x+y+z,0.25452206111458536
2,x+y+z,0.26809166784006694
3,x+y+z,0.2851762035011553
4,x+y+z,0.3459430719680467
5,x+y+z,0.36048638122107673
6,x+y+z,0.34531706359951797
7,x+y+z,0.3675043600282313
0,x+y,0.26076454970147805
1,x+y,0.2545338539771502
2,x+y,0.2502761313650002
3,x+y,0.2568977487659851
4,x+y,0.2730108958876031
5,x+y,0.27898481472964626
6,x+y,0.2955769684971056
7,x+y,0.3328035484958479
0,y+z,0.30771729074168036
1,y+z,0.2683268349014104
2,y+z,0.3045516378805398
3,y+z,0.3272397565157383
4,y+z,0.40149909065488837
5,y+z,0.42680733472198723
6,y+z,0.46668360170208345
7,y+z,0.5956040231795773
0,x+z,0.31622129914274566
1,x+z,0.2785348911031887
2,x+z,0.30923036061452425
3,x+z,0.32372990971462307
4,x+z,0.378868528271207
5,x+z,0.3895062376154658
6,x+z,0.36634486335682986
7,x+z,0.37583215331281866
0,x*y*z,0.5204742108377066
1,x*y*z,0.515675463590018
2,x*y*z,0.5436004325292212
3,x*y*z,0.5728747287779975
4,x*y*z,0.5839216657221897
5,x*y*z,0.613643975122347
6,x*y*z,0.6138938503313088
7,x*y*z,0.6469302182118949
0,x*y,0.5421026173058703
1,x*y,0.5426731133229096
2,x*y,0.5618243999833686
3,x*y,0.5704038979049637
4,x*y,0.5597963248392706
5,x*y,0.598839420823973
6,x*y,0.632617151659565
7,x*y,0.7027055208606797
0,y*z,0.5875223881458521
1,y*z,0.584888213286318
2,y*z,0.5860599601871547
3,y*z,0.5815891758965954
4,y*z,0.5948473499472967
5,y*z,0.6060954488148854
6,y*z,0.5947142615471247
7,y*z,0.6317537342898936
0,x*z,0.4091297535447002
1,x*z,0.3917304778836436
2,x*z,0.3814041532057827
3,x*z,0.4261196273457588
4,x*z,0.442816087100982
5,x*z,0.4836393093081574
6,x*z,0.5217117960321044
7,x*z,0.6132738602103393
0,p+r+w,0.6128297617949766
1,p+r+w,0.5792491524088957
2,p+r+w,0.5822853915897122
3,p+r+w,0.571288791667253
4,p+r+w,0.5423004122158113
5,p+r+w,0.5361980715132421
6,p+r+w,0.54003455706731
7,p+r+w,0.6687315982733598
0,p+r,0.4964941006745154
1,p+r,0.4868329898771833
2,p+r,0.4762115650454133
3,p+r,0.472845821499399
4,p+r,0.4681701443617341
5,p+r,0.5106745113600808
6,p+r,0.5174782620921442
7,p+r,0.6216190209206834
0,r+w,0.22001536191093748
1,r+w,0.20941591850665403
2,r+w,0.2347064597771731
3,r+w,0.24958213445741462
4,r+w,0.27950460445784986
5,r+w,0.295206309121788
6,r+w,0.3053463583868229
7,r+w,0.37448650550784934
0,p+w,0.12269284527839006
1,p+w,0.11335338357006448
2,p+w,0.20235221923300037
3,p+w,0.2778929601639345
4,p+w,0.2975061808209642
5,p+w,0.31784249130682046
6,p+w,0.331264831102098
7,p+w,0.4226208186597311
0,p*r*w,0.7235159418188543
1,p*r*w,0.7119981733655251
2,p*r*w,0.7277815305593857
3,p*r*w,0.7985686855756584
4,p*r*w,0.8042465613420839
5,p*r*w,0.8120319470231374
6,p*r*w,0.837055206412252
7,p*r*w,0.984551235319891
0,p*r,0.2579116562291274
1,p*r,0.2649970120872391
2,p*r,0.2917553460868398
3,p*r,0.29635262568647197
4,p*r,0.3109566331581277
5,p*r,0.3225528065147249
6,p*r,0.3248850846547984
7,p*r,0.4637038034398065
0,r*w,0.6711836877094879
1,r*w,0.6522811386101321
2,r*w,0.651940025594593
3,r*w,0.6834793110860735
4,r*w,0.6881609963689689
5,r*w,0.6919961930301247
6,r*w,0.7174580785961784
7,r*w,0.7357471032385571
0,p*w,0.7387919692040072
1,p*w,0.6943523770108688
2,p*w,0.7384065734129751
3,p*w,0.7340023847579441
4,p*w,0.7246610960967556
5,p*w,0.7068538589275815
6,p*w,0.739701794051275
7,p*w,0.8215798532115878
